Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-05,"After a brief lull, pollution in city again in severe zone",line chart,environment,2,2,2.5,4,colour,no,no
Dec-05,"Traffic cops stressed over long hours, threat to safety","bar chart, jumbo figures",health,3,2,1,2,colour,yes,no
Dec-05,Air quality in Delhi-NCR,"colour, bar chart",environment,7,"1, 2",2,3,colour,no,no
Dec-05,Doubling farmers' income,"Stacked bar chart, line chart",economic,7,3,2,2,colour,no,no
Dec-05,Cong presidents from Nehru-Gandhi family,"timeline, colour",politics,8,"1, 2",3.5,6,colour,yes,no
Dec-05,Race to the top,"timeline, colour",politics,8,1,1,4,b&w,yes,no
Dec-05,webpoll,pie chart,public opinion,8,3,2,1.7,colour,no,no
Dec-05,What legacy are you leaving behind?,table,lifestyle,9,3,3.5,4,colour,no,yes
Dec-05,The Artillery your finances need technology,icons,lifestyle,9,"1, 2",4,6,colour,no,yes
Dec-05,Your Nominee details must be updated,table,lifestyle,9,3,3,2,colour,no,yes
Dec-05,"Land, faith, dispute",timeline,history,12,"1, 2",6,3,b&w,yes,no
Dec-05,A failed series of solutions,"timeline, colour",politics,12,4,3.5,3,colour,yes,no
Dec-05,"Land, faith, dispute (continued)",timeline,history,13,"1, 2, 4",8,9,colour,yes,no
Dec-05,A failed series of solutions (continued),"timeline, colour",politics,13,3,3.5,3,colour,yes,no
Dec-05,"Matthews, Chandimal revive Lanka","table, bar chart",sports,25,"2, 3, 4",5,5,colour,yes,no
Dec-05,Lyon vs Lions: England threatens Australian pride,table,sports,26,1,1,6,colour,yes,no
Dec-05,Atletico in fight for survival,"ring chart, list",sports,27,"1, 2",3,6,colour,yes,no
Dec-05,Cricketers vs toxic air,"icons, bubble chart, jumbo figures, visual depiction of numbers",sports,i,"2, 3",4,12,colour,yes,no
Dec-05,The parlour at the crossroads,"map, icons",lifestyle,ii,4,1,1,colour,yes,no
Dec-05,HT weather,"icons, map, jumbo figures, colour",weather,ii,4,3,1.5,colour,no,no
Dec-06,"Pollution harms kids' brains, lowers memory and IQ: UNICEF","bar chart, list",environment,1,1,1.5,3,colour,yes,no
Dec-06,"Teens fall 40ft from flyover loop in Mukundpur, one dead",bar chart,accidents,2,1,1,3,colour,yes,no
Dec-06,Delhi police self-defense campaign,table,campaign,2,3,4,3,colour,yes,no
Dec-06,North body proposes to levy uniform 15% property tax,"bar chart, bubble chart, stacked bar chart",economic,5,2,2,5,colour,no,no
Dec-06,Air quality in delhi NCR,"colour, bar chart",environment,6,"1, 2",3,2,colour,no,no
Dec-06,webpoll,pie chart,public opinion,8,3,2,1.7,colour,no,no
Dec-06,Why Didi's live TV meets draw awe and ire,"jumbo figures, map, list, bar chart",politics,17,1,1,7,colour,yes,no
Dec-06,What was the Arab spring?,map,foreign affairs,18,4,1.5,1.5,colour,yes,no
Dec-06,A struggling economy,bar chart,economic,19,1,2,2.5,colour,yes,no
Dec-06,Venture capital rush for Indian startups shows no indiaction of ending,list,economic,19,1,1,3,colour,no,no
Dec-06,LIC's premium income up 12% In Apr-Sept,stacked bar chart,economic,19,3,1.5,2,colour,no,no
Dec-06,Jadeja sets up India for Kotla victory,table,sports,23,1,1,6.5,b&w,yes,no
Dec-06,"Roots dig deep, England firm in chase",table,sports,24,1,1,5,b&w,yes,no
Dec-06,Ron deserves more respect: Zizou,bar chart,sports,25,"1, 2",3,1,colour,yes,no
Dec-06,Why RBI may cut rates,"area chart, colour",economic,i,2,2.5,7,colour,no,no
Dec-06,Music in the dark: Max Mueller Marg,"map, icons",lifestyle,ii,4,1,2,colour,yes,no
Dec-06,HT weather,"icons, map, jumbo figures, colour",weather,ii,4,3,1.5,colour,no,no
