Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-04,Warburg Pincus joins 3-way race for Rs. 3400 cr CAMS deal,ring chart,economic,17,2,1,1.3,colour,no,no
Dec-04,RBI may hold rates at policy meet this week,line chart,economic,17,1,1,1.3,colour,no,no
Dec-04,Best funds to buy,"table, jumbo figures",economic,18,"1, 2",8,1.2,colour,no,no
Dec-04,Smart ways to borrow,"jumbo figures, bubble chart, process, colour",lifestyle,18,"1, 2",4,5.2,colour,no,yes
Dec-04,"NPS, tax-free perks cut tax by 87k",table,economic,18,4,4,5,colour,no,no
Dec-04,Double trouble for Lanka,jumbo figures,sports,19,1,1.2,4,colour,yes,no
Dec-04,"Leading Real Estate developer of North India, timely completed approximately 40 projects","map, icons",development,23,"3, 4",4,3.5,colour,yes,no
Dec-05,CityWeather,icons,weather,2,2,1,1.8,colour,no,no
Dec-05,"You did nothing, NGT tells Delhi Government","map, bar chart",environment,2,"1, 2",4,4,colour,no,yes
Dec-05,Stats and the city,jumbo figures,education,4,2,1,1.2,colour,no,no
Dec-05,"Built at Rs. 1-4 crore each, here's why 40% of foot overbridges n the city aren't used",list,development,4,1,1,3.8,colour,no,no
Dec-05,Citizen reporter,map,public opinion,6,1,4,8.3,colour,yes,no
Dec-05,"A year on, N-corp yet to plan on any budget plans","table, icons",development,6,4,2,2,b&w,no,no
Dec-05,India produces the most films but does not make the most money from the movies,"bar chart, bubble chart",entertainment,9,2,2,7,colour,no,yes
Dec-05,SC's timeframe for appointments in lower judiciary is not being followed,"map, colour, bar chart",administration,10,"1, 2",5,2,colour,no,no
Dec-05,"In '17, Modi's twitter following rose 51%","table, bar chart, list",lifestyle,11,2,3,2.5,colour,no,yes
Dec-05,"Adonis of Hindi cinema, actor wil global appeal",jumbo figures,entertainment,13,2,1,1,colour,yes,no
Dec-05,Hamburg's good for a night out,list,lifestyle,17,"1, 2",3,0.8,colour,yes,no
Dec-05,Lanka unmask their spine,jumbo figures,sports,21,"1, 2",1.5,6.3,colour,yes,no
Dec-05,Italian headache,"table, list",sports,23,1,2,4,colour,yes,no
Dec-06,CityWeather,icons,weather,4,2,1,1.7,colour,no,no
Dec-06,Delhi police self-defense campaign,table,campaign,4,3,4,2.5,colour,yes,no
Dec-06,"Bike crash: 2 boys fall off unfinished flyover, one dies","map, process",accidents,4,2,3.2,5.8,colour,yes,yes
Dec-06,Pollution watch,"bar chart, colour",environment,11,2,1,5.5,colour,no,no
Dec-06,This is how serious Delhi is about its air,"area chart, bubble chart, bar chart",environment,11,2,2,3.5,colour,no,no
Dec-06,4pt drop in IQ of kids exposed in utero: Study,"jumbo figures, process",health,11,1,3,5.5,colour,no,yes
Dec-06,"N corp to hike property tax up by upto 8%, add two revenue sources","jumbo figures, table, bubble chart, icons",economic,12,1,2.5,2.3,colour,no,no
Dec-06,Upper age limit for entry level classes,list,education,12,2,1.2,0.7,colour,no,no
Dec-06,Ayodhya files,timeline,history,14,"1, 2",8,1.8,colour,yes,no
Dec-06,From masjid to rubble in hours,timeline,politics,14,"1, 2, 3, 4",4,4.7,colour,yes,no
Dec-06,Almost half of BJP candidates in UP civic polls lost their deposits,table,politics,15,"2, 3",2,4.5,colour,no,no
Dec-06,"RBI rings alarm bells on bitcoins, cautions investors",line chart,economic,27,2,1,1.5,colour,no,no
Dec-06,Pernord Ricard to take 3 desi whiskies global,bar chart,development,27,1,1,1.5,colour,no,no
Dec-06,New export policy in works for the farm sector,bubble chart,development,28,1,1,2.4,colour,no,no
Dec-06,"Business as usual, SL on the mat",jumbo figures,sports,29,"1, 2",6,3,colour,yes,no
Dec-06,Big Ben,"table, list",sports,32,1,2,3.5,colour,yes,no
Dec-06,Why Jerusalem is a bone of contention,map,foreign affairs,2,1,4,6.6,colour,yes,no
Dec-06,Globally 34 journalists killed in 2017,"bar chart, jumbo figures",crime,2,4,4,3.3,colour,yes,no
Dec-07,CityWeather,icons,weather,2,2,1,1.7,colour,no,no
Dec-07,Govt to follow court orders on odd-even exemptions,map,judiciary,2,2,2,3.5,colour,no,yes
Dec-07,Wrong treatment biggest grouse,"pie chart, bar chart, list",health,6,2,2,5,colour,no,yes
Dec-07,Why it's a big deal: Type-2 diabetes accounts for 90-95% of all cases,process,health,6,1,3,3.5,colour,no,yes
