Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-05,Air quality,"colour, table",environment,5,2,1,3.3,colour,yes,no
Dec-05,BJP rises over 17 years in UP's small cities,table,politics,11,1,2,1.3,colour,no,no
Dec-05,Do you agree with Manmohan?,pie chart,public opinion,12,3,1,1.3,colour,no,no
Dec-05,Sensex,icons,sensex,14,4,1,2.7,b&w,no,yes
Dec-05,Panchyat to be involved in talks,jumbo figures,administration,14,1,1,1.3,b&w,yes,no
Dec-05,Chandimal and Matthews save Sri Lanka from follow on,"jumbo figures, table",sports,20,"1, 2",3,5.3,b&w,yes,no
Dec-05,Price of vegetable,table,economic,23,3,1,4.7,colour,no,no
Dec-06,Mobile will tell where is the nearest toilet,"map, list",technology,2,1,1,4.7,colour,no,no
Dec-06,Weather report,icons,weather,3,2,2,0.7,colour,no,yes
Dec-06,Air quality,"colour, table",environment,3,2,1,3.3,colour,yes,no
Dec-06,Delhi police self-defense campaign,table,campaign,3,3,4,4,colour,yes,no
Dec-06,For the environment,jumbo figures,environment,4,"1, 2",8,1.3,colour,no,no
Dec-06,Ghaziabad most polluted place in india,"table, bar chart",environment,4,2,2,4,colour,yes,no
Dec-06,Birds affected by polluted water bodies,table,environment,4,"2, 3",2,2,colour,yes,no
Dec-06,North Delhi to increase tax burden,jumbo figures,administration,6,2,1,0.4,colour,no,no
Dec-06,Will pressure increase on India and Pakistan?,pie chart,public opinion,10,3,1,1.3,colour,no,no
Dec-06,EVM attacked,table,crime,10,1,1.5,2,b&w,yes,no
Dec-06,Sensex,icons,sensex,12,1,1,2.7,b&w,no,yes
Dec-06,Service sector gets lazy with new strategies,jumbo figures,administration,12,4,1,0.4,colour,no,no
Dec-06,India 7 wickets away from victory,"jumbo figures, table",sports,18,"1, 2",2,6.7,colour,yes,no
Dec-06,All Amarnath terrorists killed,jumbo figures,crime,20,1,1,0.4,colour,yes,no
Dec-06,Weather report,"map, colour",weather,23,4,2,3.3,colour,no,yes
Dec-07,Weather report,icons,weather,3,2,2,0.7,colour,no,yes
Dec-07,Air quality,"colour, table",environment,3,2,1,3.3,colour,yes,no
Dec-07,Is government serious with problem of pollution?,pie chart,public opinion,10,3,1,1.3,colour,no,no
Dec-07,Government should reduce corporate tax rate,jumbo figures,economic,12,1,1,0.4,colour,yes,no
Dec-07,Sensex,icons,sensex,12,3,1,2.7,b&w,no,yes
Dec-07,Chabhar port to open route to Russia,jumbo figures,development,12,4,1,0.7,colour,no,no
Dec-07,Jerusalem: the 'capital' controversy,map,foreign affairs,17,2,1.5,2.7,colour,yes,no
Dec-07,India wins consecutive 9th test series,"table, jumbo figures",sports,18,"1, 2",4,8,colour,yes,no
Dec-07,Price of vegetables,table,economic,21,"2, 3",1,4,colour,no,no
Dec-07,Is police effective in NCR region,pie chart,public opinion,22,1,1,3.3,colour,no,no
Dec-07,Crimes in society,jumbo figures,crime,22,2,2,2.7,colour,no,yes
Dec-07,Police verification is imperative for a safe society,"jumbo figures, timeline",crime,22,4,2,4,b&w,no,yes
Dec-08,East government launches budget,list,administration,2,1,1,2,colour,no,no
Dec-08,Surendar and Monindar Koli found  guilty,table,judiciary,2,2,1,2.7,colour,yes,no
Dec-08,Weather report,icons,weather,5,2,2,0.7,colour,no,yes
Dec-08,Air quality,"colour, table",environment,5,2,1,3.3,colour,yes,no
Dec-08,GST return filing calendar,table,lifestyle,5,"3, 4",5,6,colour,no,no
Dec-08,Kapil Sibbal's decision influenced by politics?,pie chart,public opinion,12,3,1,1.3,colour,no,no
Dec-08,Record against criminal politicians,table,politics,13,4,2,4,colour,no,no
Dec-08,Sensex,icons,sensex,12,4,1,2.7,b&w,no,yes
Dec-08,Weather report,"map, colour",weather,18,4,2,3.3,colour,no,no
Dec-08,Kohli can rival ricky ponting,table,sports,20,2,2,1.3,colour,yes,no
Dec-08,Price of vegetables,table,economic,23,"2, 3",1,4.7,colour,no,no
Dec-09,Weather report,icons,weather,3,2,2,0.7,colour,no,yes
Dec-09,Air quality,"colour, table",environment,3,2,1,3.3,colour,yes,no
Dec-09,Women unsafe in the capital of our country,jumbo figures,crime,3,2,1.5,0.4,colour,no,no
Dec-09,Delhi likely to be extreme cold from 13th onwards,jumbo figures,weather,4,4,2,0.4,colour,yes,no
Dec-09,It's essential to travel to keep off stress,table,transport,4,4,1,0.7,b&w,yes,no
Dec-09,Easy to detect cracks on rails,table,transport,4,4,1,4,colour,yes,no
Dec-09,35 injured due to neglectance in surgery,jumbo figures,health,6,2,0.5,0.7,b&w,no,yes
Dec-09,Application to begin from new year ,jumbo figures,education,6,4,1,1.3,b&w,no ,no
Dec-09,Hospitals become a deathbed,jumbo figures,health,6,"1, 2",8,1.3,colour,no ,no
Dec-09,Nithari case: Death sentence ,timeline,judiciary,9,1,2,3.3,b&w,yes,no
Dec-09,Automation threatens jobs,bar chart,lifestyle,10,"3, 4",4.5,1.3,b&w,no,yes
Dec-09,Public opinion,pie chart,public opinion,10,3,1,1.3,colour,no,no
Dec-09,Small businesses to get electricity supply at cheaper rates,jumbo figures,development,12,2,1,0.4,b&w,yes,no
Dec-09,Sensex,icons,economic,12,1,3,0.7,colour,no,no
Dec-09,BJP trying to improve on their weak links,list,politics,13,3,1,6,colour,yes,no
Dec-09,Brand value of Virushka,jumbo figures,entertainment,15,2,2,1.3,colour,yes,no
Dec-09,Free physical training camp being run by ex-military man,jumbo figures,lifestyle,17,4,1,2,colour,yes,no
Dec-09,Punit Goyal presents budget,"jumbo figures, bar chart",economic,21,2,1,4.7,colour,yes,no
Dec-09,Price of vegetables,table,economic,21,2,1,4.7,colour,no,no
Dec-09,Weather report,"map, colour",weather,29,4,2,3.3,colour,no,yes
Dec-09,Get rid of tension,jumbo figures,health,29,2,2,3.3,colour,yes,yes
Dec-10,Weather report,icons,weather,3,2,2,0.7,colour,no,yes
Dec-10,Air quality,"colour, table",environment,3,2,1,3.3,colour,yes,no
Dec-10,Rains might reduce effect of pollution,table,environment,3,2,1,2,b&w,no,yes
Dec-10,Girl escapes from the kidnappers at Delhi station,jumbo figures,crime,7,2,1,0.4,colour,yes,no
Dec-10,Religion distribution,ring chart,lifestyle,11,2,2,1.3,colour,no,no
Dec-10,Public vote/ Janmat,jumbo figures,public opinion,11,3,1.2,2,colour,no,no
Dec-10,Company and income tax give a 14% increment to the treasury,jumbo figures,economic,12,4,1,1.3,colour,no,no
Dec-10,Waste materials to be used in building construction,jumbo figures,development,12,3,1,0.7,b&w,yes,yes
Dec-10,"Parade of enthusiam, vigour and bravery","list, jumbo figures",lifestyle,15,"1, 2",1,3.3,b&w,yes,no
Dec-10,One more attempt to explain to China for Masood Azhar,list,foreign affairs,15,4,1,2,colour,yes,no
Dec-10,Young players will have big responsibilty on their shoulders,table ,sports,16,2,1,1.6,b&w,yes,no
Dec-10,Random IND-SL stats,jumbo figures,sports,16,2,1,3.3,b&w,no,no
Dec-10,Radio city top 25,list,entertainment,17,"1, 3",3,3.3,colour,no,no
Dec-10,Weather report,"map, colour",weather,29,4,2,3.3,colour,no,yes
Dec-10,Eating vegetarian food increases lifespan,jumbo figures,lifestyle,35,1,1,2,colour,yes,no
Dec-11,Weather report,icons,weather,5,2,2,0.7,colour,no,yes
Dec-11,Air quality,"colour, table",environment,5,2,1,3.3,colour,yes,no
Dec-11,Rains might reduce effect of pollution,table,environment,6,2,1,1.6,b&w,no,yes
Dec-11,Will taking away max hospital's licence change the reduce the carelessness of other private hospitals?,pie chart,public opinion,8,3,1,1.3,colour,no,no
Dec-11,Upper courts have more than 40 lakh pending decisions,jumbo figures,judiciary,9,2,2,2.7,colour,no,yes
Dec-11,"Without Government help, the Narmada riverlands were converted into a 11km stretch of jungle",jumbo figures,environment,9,3,2,1.3,colour,yes,yes
Dec-11,Weather report,"map, colour",weather,11,4,2,3.3,colour,no,yes
Dec-11,"If land is acquired in this month, airport construction in Bihta will begin from September",jumbo figures,development,12,"3, 4",1,0.7,b&w,no,no
Dec-11,Team India fails in front of lakmal,"table, jumbo figures",sports,14,"1, 2",2.5,8.7,colour,yes,no
Dec-11,Price of vegetables,table,economic,17,3,1,4,colour,no,no
Dec-11,This week,timeline,entertainment,17,"1, 2",8,2.7,colour,no ,yes
Dec-11,NDMC flares cleanliness drive,jumbo figures,environment,17,1,3,0.5,b&w,yes,no
Dec-12,Weather report,icons,weather,5,2,2,0.7,colour,no,yes
Dec-12,Air quality,"colour, table",environment,5,2,1,3.3,colour,yes,no
Dec-12,Hospitals become a deathbed,jumbo figures,health,6,"1, 2",1.5,0.7,colour,no,no
Dec-12,America claiming Jerusalem as capital of Israel will affect the national peace?,pie chart,public opinion,12,3,1,1.3,colour,no,no
Dec-12,"Waiting for arrival of next season, Kashmir blossoms","jumbo figures, table",lifestyle,13,4,1,2.7,colour,yes,no
Dec-12,Weather report,"map, colour",weather,23,4,2,3.3,colour,no,yes
Dec-13,Victim of road accidents to get health security,jumbo figures,accidents,1,3,1,1.3,colour,no,no
Dec-13,Weather report,icons,weather,3,2,2,0.7,colour,no,yes
Dec-13,Air quality,"colour, table",environment,3,2,1,3.3,colour,yes,no
Dec-13,Air quality improved because of rains and wind,table,environment,4,2,1,2,b&w,yes,no
Dec-13,Delhi police self-defense campaign,table,campaign,5,4,4,4,colour,yes,no
Dec-13,Has Rahul Gandhi formed his appropriate image?,pie chart,public opinion,12,3,1,1.3,colour,no,no
Dec-13,Aerial communication also cut off from Kashmir,jumbo figures,accidents,13,2,3,1.3,colour,yes,no
Dec-13,Priyanka Vadra's garden to Italian apple saplings,jumbo figures,lifestyle,13,1,1,0.7,b&w,yes,no
Dec-13,Working age population in India between 65 to 69 years of age is 35% of the total,"bar chart, icons, jumbo figures",lifestyle,13,2,2,3.3,colour,no,yes
Dec-13,Chances of WTO discussion failure,jumbo figures,foreign affairs,13,4,1,0.4,b&w,yes,no
Dec-13,Better results than antibiotic with help of charak,jumbo figures,health,13,3,1,0.7,colour,yes ,no
Dec-13,60% leprosy victims in India,jumbo figures,health,13,4,1,2.9,colour,yes,no
Dec-13,Sensex,jumbo figures,sensex,14,1,3,0.7,colour,no,yes
Dec-13,Inflation rise and production decrease to be challenges,jumbo figures,development,14,2,1,0.4,colour,yes,no
Dec-13,Luxury car market is reaching out to the smaller towns in the country,jumbo figures,transport,14,1,1,0.4,b&w,yes,no
Dec-13,Adani power acquires 175 acre land,jumbo figures,development,14,3,1,0.7,colour,no,no
Dec-13,India random cricket facts,jumbo figures,sports,20,"1, 2",8,1.3,b&w,yes,no
Dec-13,Weather report,"map, colour",weather,25,4,2,3.3,colour,no,yes
Dec-14,Rohit plays well in Mohali,"table, jumbo figures",sports,1,1,4,2,colour,yes,no
Dec-14,Pollution rises in Delhi,table,environment,2,4,1,1.3,colour,no,no
Dec-14,Delhi will shiver with cold,jumbo figures,lifestyle,2,3,2,1.3,colour,yes,yes
Dec-14,Half of our population is unsafe,jumbo figures,crime,4,"1, 2",8,1.3,b&w,no,no
Dec-14,Weather report,icons,weather,5,2,2,0.7,colour,no,yes
Dec-14,Air quality,"colour, table",environment,5,2,1,3.3,colour,yes,no
Dec-14,Delhi police self-defense campaign,table,campaign,5,4,4,4,colour,yes,no
Dec-14,Will VAM alliance will increase China's influence as compared to that of India?,pie chart,public opinion,10,3,1,1.3,colour,no,no
Dec-14,Sensex,jumbo figures,sensex,12,1,3,0.7,colour,no,yes
Dec-14,Last date to link accounts with PAN and Aadhar extended,jumbo figures,lifestyle,12,1,1,0.7,colour,yes,no
Dec-14,ADB underestimates the country's growth rate,jumbo figures,lifestyle,12,2,1,0.4,colour,yes,no
Dec-14,PM will include INS Kalvari to Navy,jumbo figures,technology,13,1,1,0.4,colour,yes,no
Dec-14,Rohit bats well against Lanka,"jumbo figures, table",sports,16,"1, 2",4,9.3,colour,yes,no
Dec-14,Sundar washington makes a record in his first International match,table,sports,16,4,1,2.7,colour,yes,no
Dec-14,Weather report,"map, colour",weather,21,4,2,3.3,colour,no,yes
Dec-14,Internet fails person in life,jumbo figures,lifestyle,22,1,1,2.7,colour,yes,no
Dec-14,Public opinion,pie chart,public opinion,22,4,1,3.3,colour,no,no
Dec-14,Children's mind affected with criminal thoughts from birth,jumbo figures,crime,22,"1, 2, 3, 4",1,6,b&w,no,yes
Dec-15,Exit poll : BJP wins in Gujarat and Himachal,"table, icons",politics,1,1,2,3.3,colour,yes,no
Dec-15,Fortis hospital charged 36 lakh rupees for a kidney operation,jumbo figures,crime,2,2,1,0.7,b&w,no,no
Dec-15,Weather report,icons,weather,3,2,2,0.7,colour,no,yes
Dec-15,Air quality,"colour, table",environment,3,2,1,3.3,colour,yes,no
Dec-15,Dirt ain't reducing in Delhi,jumbo figures,environment,3,3,1,2,b&w,no,yes
Dec-15,Police returns lakhs of money given for Nirbhaya fund every year,table,crime,6,4,2,1.6,colour,no,no
Dec-15,Public opinion,pie chart,public opinion,10,3,1,1.3,colour,no,no
Dec-15,Sensex,jumbo figures,sensex,12,1,3,0.7,colour,no,yes
Dec-15,Inflation rises,jumbo figures,lifestyle,12,1,1,0.7,colour,yes,no
Dec-15,Weather report,"map, colour",weather,15,4,2,3.3,colour,no,yes
Dec-15,Gujarat elections,jumbo figures,politics,17,"1, 2",8,1.3,colour,no,yes
Dec-15,People sing happy birthday song to rita in the zoo,jumbo figures,lifestyle,23,1,2,1.3,colour,yes,no
