Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
8,Virat 2nd in the list for the top test batsman,table,sports,12,"1, 4",2,2.8,b&w,yes,no
8,Gujarat elections: BJP vs Congress,"jumbo figures, bar chart, table",politics,13,"1, 2",4,2.2,colour,yes,no
9,Police demolishes false teaching institutions in 15 states,table,education,2,1,1,1.7,b&w,yes,no
9,Acquiring a VIP number will cost Rs. 50000 more from now,"icons, jumbo figures, list",lifestyle,4,"1, 4",1,3.3,colour,no,no
9,Sensex,"icons, colour",sensex,8,"1, 2",8,1.1,colour,no,no
9,Valuation of top 100 companies increase by Rs. 39 crores in 5 years,bar chart,economic,8,1,1.5,1.7,colour,no,no
9,Ronaldo: footballer of the year,table,sports,12,1,1.5,3.3,colour,yes,no
9,India vs Sri Lanka: first ODI tomorrow,jumbo figures,sports,12,3,0.5,2.8,colour,yes,no
9,Gujarat election: 6 times bigger than UP election,"map, pie chart, bar chart, jumbo figures, icons, table",politics,13,"1, 2",6,3.3,colour,yes,no
10,"19% increase in air passengers, 18% decrease in fare, 12 crore seats att present",table,development,i,1,2,4.4,b&w,no,yes
10,Gaur city-2 murder case,"jumbo figures, map, list",crime,1,2,3,3.3,colour,yes,no
10,India vs Sri Lanka: first ODI today,jumbo figures,sports,1,3,1.5,1.7,colour,yes,no
10,Teenager wanted to commit suicide after murdering his mother and sister,"icons, jumbo figures",crime,4,4,3,1.1,colour,yes,no
10,"19% increase in air passengers, 18% decrease in fare, 12 crore seats att present",table,development,11,4,3,1.7,b&w,no,yes
10,A herd of 16 wild elephants spotted 22km away from Raipur,jumbo figures,environment,11,3,2,0.6,b&w,yes,no
10,New Zealand scores 286/7 against West Indies,table,sports,12,4,1,1.1,b&w,no,no
10,Gujarat elections: BJP vs Congress,table,politics,13,1,2,4.4,colour,yes,no
11,Air pollution in Delhi,bar chart,environment,2,"1, 2",2,1.1,colour,yes,no
11,Metro smart card will allow travel in buses from 1st January onwards ,list,transport,2,3,2,2.2,b&w,yes,no
11,BJP's party fund in Jharkhand to have 30 crores in collection by 28th Feb,jumbo figures,politics,7,1,2,1.7,b&w,no,no
11,Footwear industry has 2.5 lakh job opportunities annually,"ring chart, jumbo figures",development,11,2,2,4.4,colour,no,no
11,How to give your best in a job,jumbo figures,lifestyle,11,4,1,1.7,colour,yes,no
11,India vs Sri Lanka: Sri Lanka wins the first ODI,"table, jumbo figures",sports,12,"3, 4",3.5,3.3,colour,yes,no
11,19% decrease in environmental crimes in 2 years,"table, bar chart",environment,13,"3, 4",2,1.1,colour,yes,no
12,How to incentivise the use of solar energy?,jumbo figures,development,2,4,1,1.7,b&w,yes,no
12,Rains in Delhi,jumbo figures,environment,3,"1, 2",2.5,0.6,colour,yes,no
12,Sensex,"icons, colour",sensex,8,"1, 2",8,1.1,colour,no,no
12,World's largest floating power plant starts producing electricity,jumbo figures,foreign affairs,8,"1, 2",3.5,1.1,colour,yes,no
