Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-09,"Fake education board busted, six arrested",jumbo figures,education,20,1,2,2.2,colour,yes,yes
Dec-09,Over 3 lakh liquor bottles from Haryana seized this year,bar chart,crime,20,3,1,2.2,colour,no,yes
Dec-10,"24 years on, OBC  workforce in Centre still short of Mandal mark",table,administration,1,"1, 2",2,2,colour,no,no
Dec-10,Ready for takeoff: Development of international airport at Jewar,map,development,5,2,3,3,colour,no,yes
Dec-10,Congress campaign based on false promises: Jaitley,"bar chart, timeline",politics,11,"1, 2, 3, 4",3,3.8,colour,yes,no
Dec-10,India and Sri Lanka all set for another round of jousts,timeline,sports,17,1,1,2,colour,yes,no
Dec-10,How will economy fare in 2018?,"line chart, bar chart",economic,28,3,2,9,colour,no,yes
Dec-10,Bank FD interest rates,table,economic,29,"1, 4",1.5,6.5,colour,no,no
Dec-11,Sunrise-sunset and temperature,"icons, table",weather,2,1,1,2,b&w,no,no
Dec-11,weather watch,"map, table, colour",weather,6,1,1,7,colour,no,no
Dec-11,Air Force's warhouse,"jumbo figures, icons, list",technology,7,"1, 2",3,2,colour,yes,no
Dec-11,States and electorates,table,politics,9,4,2,3,b&w,no,no
Dec-11,"Short on judges, justice a dish served cold","table, map, jumbo figures, icons, colour",judiciary,20,"1, 2, 4",8,9,colour,yes,yes
Dec-12,Sunrise-sunset and temperature,"icons, table",weather,2,4,1,2,b&w,no,no
Dec-12,weather watch,"map, table, colour",weather,6,1,1,7,colour,no,no
Dec-12,Betting big on small,"ring chart, map, line chart, jumbo figures",technology,7,1,3,4,colour,no,yes
Dec-12,Juvenile offenders,table,crime,9,4,2,2.5,colour,no,no
Dec-12,Gujarat elections: A study in contrast,"map, colour, table",politics,11,"1, 2",4,3.5,colour,no,no
Dec-12,Market watch,table,sensex,13,2,1,8.5,b&w,no,no
Dec-12,Dhoni- the fire still burns,table,sports,15,2,3,3,b&w,yes,no
Dec-12,Champions League Round of 16 draw,"icons, table",sports,17,1,3,5,colour,no,no
Dec-12,Fellowship Entrance Test NBEFET,"list, table",education,17,3,3,4,colour,no,no
Dec-13,Sunrise-sunset and temperature,"icons, table",weather,3,2,1,2,b&w,no,no
Dec-13,Delhi police self-defense campaign,table,campaign,5,4,4,2.5,colour,yes,no
Dec-13,weather watch,"map, table, colour",weather,6,1,1,7,colour,no,no
Dec-13,Cetre to give Rs. 500 to TB patients every month,"map, colour, list",health,7,"1, 2",3,2,colour,no,no
Dec-13,A growing inferno: blaze in California,line chart,accidents,9,4,2,2,colour,no,no
Dec-13,Market watch,table,sensex,13,2,1,8.5,b&w,no,no
Dec-13,Rain brings relief from pollution,stacked bar chart,environment,19,1,1,3,colour,yes,no
Dec-13,Over half of all pregnancies in 2015 unintended,"jumbo figures, pie chart, icons",health,20,4,3,2.5,colour,no,yes
Dec-14,Plugged in,"icons, bar chart",lifestyle,20,"3, 4",3,4,colour,no,no
Dec-15,"Exit polls predict saffron sweep across Gujarat, H.P.",table,politics,1,2,2,3,colour,no,no
Dec-15,Sunrise-sunset and temperature,"icons, table",weather,2,2,1,2,b&w,no,no
Dec-15,weather watch,"map, table, colour",weather,6,1,1,7,colour,no,no
Dec-15,Gunned down,table,crime,9,4,2,2.8,b&w,no,no
Dec-15,Market watch,table,sensex,13,2,1,8.5,b&w,no,no
Dec-15,Silva stars in City's record-breaking win,jumbo figures,sports,17,2,1,1,b&w,yes,no
Dec-16,Sunrise-sunset and temperature,table,weather,2,1,1,2,colour,no,no
Dec-16,The changing face of mungers's trade gun,map,lifestyle,7,2,1,1.5,colour,yes,no
Dec-16,Market watch,table,sensex,13,2,1,8.5,b&w,no,no
Dec-16,Does Tiger has another major in film,table,sports,18,3,2,1,b&w,yes,no
Dec-16,Stacking up,table,sports,18,"3, 4",6,4.5,b&w,yes,no
Dec-16,Majors won,"timeline, map",sports,19,1,4,7,colour,no,yes
Dec-16,Game theory,table,sports,19,3,3,4,b&w,no,no
