Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-07,Food will be expensive in the Parliament canteen from 15th December onwards,table,economic,14,4,3,2,colour,no,no
Dec-07,D'Silva wins the match in Kotla with his century,"jumbo figures, table",sports,16,"1, 2",4,10,colour,yes,no
Dec-07,Dhoni to return to Chennai Superkings after 2 years,jumbo figures,sports,16,"3, 4",2,2,colour,yes,no
Dec-07,How to get rid of type-2 diabetes,jumbo figures,health,18,2,1,1,colour,yes,no
Dec-08,The Jerusalem affair,jumbo figures,foreign affairs,2,"1, 2",2,2,colour,yes,no
Dec-08,11 ex-Mps to be taken to courts,jumbo figures,judiciary,3,2,1,0.5,colour,no,no
Dec-08,IITs to reserve seats for female students,jumbo figures,education,3,2,1,1,colour,yes,no
Dec-08,Weather,icons,weather,5,2,2,1,colour,no,no
Dec-08,Petrol/diesel prices,table,economic,5,1,2,2,colour,yes,no
Dec-08,Vehicles start crawling after reaching the south express,"map, jumbo figures, icons",transport,7,"1, 2",3,8,colour,yes,no
Dec-08,NICU surveillance through mobile phones,jumbo figures,technology,8,"1, 3",5,0.5,colour,yes,no
Dec-08,Sensex,"area chart, icons, table",sensex,15,2,1,8,colour,no,no
Dec-08,"Prices for tomatoes and potatoes lower, onions rises",table,economic,15,"1, 2",4,2,colour,yes,yes
Dec-08,Public's money is safe in banks,jumbo figures,economic,15,2,1,1,colour,yes,no
Dec-08,Careful while investing in bitcoin,jumbo figures,technology,15,3,1.5,1,colour,yes,no
Dec-08,"Gujarat phase-1 campaigning over, voting tomorrow","list, jumbo figures",politics,18,1,2,4,b&w,yes,no
Dec-08,Karnataka presses over Mumbai with Vinay's hattrick,"table, jumbo figures",sports,20,2,1,5,colour,yes,no
Dec-08,Kill the people who support IS: Britain,"jumbo figures, timeline",foreign affairs,21,2,1,6,colour,yes,no
Dec-11,Delhi to get colder from today onwards,table,environment,2,1,1,2,colour,yes,no
Dec-11,City forest's gift to Aya Nagar,jumbo figures,development,2,1,2,0.5,b&w,yes,no
Dec-11,Weather,icons,weather,3,2,2,1,colour,no,no
Dec-11,Petrol/diesel prices,table,economic,3,1,2,2,colour,yes,no
Dec-11,Chain snatchers shoot a lady in Dhaula kuan,map,crime,4,2,3,4,colour,no,yes
Dec-11,Traffic jams in Hauz-Khaas and Kalkaji waste 2 hours daily,"map, list, icons, jumbo figures",transport,5,"1, 2",6,8,colour,yes,no
Dec-11,Only 1.4% of GDP spent on health,"timeline, map, bar chart",health,7,"1, 2",4,6,colour,yes,no
Dec-11,Team India's champions face defeat in Dharamshala,"table, jumbo figures",sports,12,"1, 2",4,9,colour,yes,no
Dec-11,Corruption scenario,"ring chart, bar chart, jumbo figures",crime,13,1,2,5,colour,no,yes
Dec-12,The present era of Rahul Gandhi in Congress,jumbo figures,politics,1,1,1,1.5,b&w,yes,no
Dec-12,Rains in the capital lower the temperature by 3 degrees,table,environment,2,1,2,1,colour,yes,no
Dec-12,Weather,icons,weather,3,2,2,1,colour,no,no
Dec-12,The jam on Ashram Crossing is the biggest bottleneck on Ring Road,"map, timeline, jumbo figures, list, icons",transport,4,"1, 2",7,6,colour,yes,no
Dec-12,Petrol/diesel prices,table,economic,5,1,2,2,colour,yes,no
Dec-12,"The car drags the person 14 km after the accidents, dies",jumbo figures,accidents,6,2,1,1,b&w,yes,no
Dec-12,India does not have fulfill the one doctor to a thousand people ratio,jumbo figures,health,7,2,3,0.5,b&w,yes,no
Dec-12,Nehru-Gandhi family's 5th generation given authority,timeline,politics,9,"1, 2",4,3,colour,yes,no
Dec-12,Sensex,"area chart, icons, table",sensex,13,2,1,9,colour,no,no
Dec-12,Foreign companies now to bid for Air India,jumbo figures,economic,13,2,1,1,colour,yes,no
Dec-12,Importing gadgets will become costlier,jumbo figures,development,13,2,3,1,colour,yes,no
Dec-12,Super series finals: big hopes riding on Indian athletes,table,sports,14,3,1,2,colour,yes,no
Dec-12,Heaviest snowfall in Britain in the last 4 years,jumbo figures,environment,15,"1, 2",4,0.5,b&w,yes,no
Dec-12,Cinema halls to be opened in Saudi Arabia after 35 years,jumbo figures,entertainment,15,3,1,1,b&w,no,no
Dec-13,Fog will cause inconvenience after the rains,table,environment,2,1,1,1,colour,yes,no
Dec-13,Weather,icons,weather,3,2,2,1,colour,no,no
Dec-13,Lakshminagar stuck in the web of illegal parking,"map, jumbo figures, list",transport,4,"1, 2",5,8,colour,yes,no
Dec-13,Delhi police self-defense campaign,table,campaign,4,3,4,3,colour,yes,no
Dec-13,Woman and teen girl suffocate to death in smoke,jumbo figures,accidents,6,1,1,1,b&w,no,no
Dec-13,Petrol/diesel prices,table,economic,7,1,2,2,colour,yes,no
Dec-13,Why the 27th day of election campaign was special,"bar chart, list",politics,12,2,3,2,colour,yes,no
Dec-13,Sensex,"area chart, icons, table",sensex,13,2,1,7.5,colour,no,no
Dec-13,Customers to get the gift of 5G before predicted time,jumbo figures,technology,13,"1, 2",2,1,b&w,no,yes
Dec-13,Inflation broke last 15 months' record,jumbo figures,economic,13,1,2,1,b&w,yes,no
Dec-13,It's a do-or-die situation in Mohali,jumbo figures,sports,18,2,1,5,b&w,yes,no
Dec-13,Britain is two times colder than Russia,jumbo figures,environment,19,2,3,3,colour,yes,no
Dec-13,Temperature in Gulmarg falls 6.5 degrees below zero,jumbo figures,environment,19,1,1.5,1,colour,yes,no
Dec-14,Congress objects to Election Commission's proceedings ,jumbo figures,politics,1,"1, 2",2,1,colour,yes,no
Dec-14,Rohit's record: 3rd double century,jumbo figures,sports,1,1,1,1,b&w,yes,no
Dec-14,Coldwave predicted in the Capital on Friday,table,environment,2,1,1,1,colour,yes,no
Dec-14,Delhi police self-defense campaign,table,campaign,2,3,4,3,colour,yes,no
Dec-14,Weather,icons,weather,3,2,2,1,colour,no,no
Dec-14,Breach on Pusa road causes traffic jam,"list, map, jumbo figures, timeline",transport,4,"1, 2",5,6,colour,yes,no
Dec-14,"It was not chainsnatcher, but the friend who shot the lady",jumbo figures,crime,5,2,1,1,b&w,yes,no
Dec-14,Petrol/diesel prices,table,economic,5,1,2,2,colour,yes,no
Dec-14,GST related clarification on under-construction and possession-ready properties,table,development,5,"3, 4",7,4,colour,no,no
Dec-14,Mine worker is the king of the coal scam,"jumbo figures, timeline",crime,7,"1, 2",5,6,colour,yes,no
Dec-14,Investment in Gulf countries by money laundering,jumbo figures,crime,7,4,2,1,colour,yes,no
Dec-14,UTI swatantra,"jumbo figures, table",lifestyle,9,"1, 2, 3, 4",8,10,colour,no,yes
Dec-14,2nd phase voting in Gujarat today,"jumbo figures, map, bar chart",politics,11,"1, 2",7,5,colour,yes,no
Dec-14,Sensex,"area chart, icons, table",sensex,15,2,1,9,colour,no,no
Dec-14,89% people search the internet before deciding on which car to buy,"bar chart, jumbo figures",lifestyle,15,"1, 2",2,1,colour,yes,no
Dec-14,Only new skills will get you jobs,jumbo figures,lifestyle,15,2,1,1,colour,yes,no
Dec-14,India defeats Sri Lanka by 141 runs,"table, jumbo figures",sports,18,"1, 2",2,8,colour,yes,no
Dec-14,Buddhist women foremost in wearing Saree,"bar chart, ring chart",lifestyle,19,2,2.5,3,colour,yes,no
Dec-14,New laws for child sex abuse in Australia,jumbo figures,crime,19,3,2,1.5,colour,yes,no
Dec-14,Pollution causes underweight newborns,jumbo figures,health,20,2,1.5,1.5,colour,yes,no
Dec-15,Exit poll: BJP might win,"icons, ring chart, table",politics,1,"1, 2",6,6,colour,yes,no
Dec-15,Mother kills innocent child with the help of her lover,"timeline, bar chart",crime,2,2,2,5,colour,yes,no
Dec-15,Weather,icons,weather,3,2,2,1,colour,no,no
Dec-15,Petrol/diesel prices,table,economic,3,1,2,2,colour,yes,no
Dec-15,Thursday was coldest in the last seven years,table,environment,3,1,1,2,colour,yes,no
Dec-15,Irregularly parked vehicles on GT Road increase traffic congestion,"map, jumbo figures, list, timeline, icons",transport,6,1,3,7,colour,yes,no
Dec-15,Sensex,"area chart, icons, table",sensex,13,2,1,8,colour,no,no
Dec-15,"Prices for potatoes, tomatoes and onions fall",table,economic,13,"1, 2",4,2,colour,yes,yes
Dec-15,Rise in prices: From crude oil prices to wholesale inflation,jumbo figures,economic,13,2,1,0.5,colour,yes,no
Dec-15,75% voting in Patidar areas,"timeline, bar chart",politics,14,"1, 2",2,2,colour,yes,no
Dec-15,BJP relieved before the results,"ring chart, map, icons, table, jumbo figures",politics,15,"1, 2",6,10,colour,yes,no
Dec-15,BJP's vote percentag to increase,"map, icons, table, jumbo figures",politics,15,4,4,6,colour,yes,no
Dec-15,Malan strikes a century on the first day,jumbo figures,sports,18,3,1,1,b&w,yes,no
Dec-15,Ranked list of 300 or more runs of ODIs,table,sports,18,4,1,2,colour,no,no
Dec-15,Make in India submarine increases Indian Naval power,jumbo figures,technology,19,2,2.5,2,b&w,yes,no
Dec-16,Sonia to retire from CMs post not from politics,jumbo figures,politics,1,2,1,1,colour,yes,no
Dec-16,Three years jail on triple talaq,list,judiciary,1,2,1,1.5,b&w,yes,no
Dec-16,Finding new planet with 8 moons,jumbo figures,development,1,3,1,1,b&w,yes,no
Dec-16,Unlawful colonies wont be deconstructed till 2020 in delhi,jumbo figures,administration,3,2,1,1,b&w,yes,no
Dec-16,"Chilly winds to blow, no signs of relief",jumbo figures,environment,3,3,1,1,b&w,yes,no
Dec-16,Rise in crime on women,table,crime,4,2,2,1,b&w,yes,no
Dec-16,Police unable to utilise the Nirbhaya funds,"jumbo figures, timeline",administration,4,1,2,5,b&w,no,no
Dec-16,Weather,icons,weather,5,2,2,1,colour,no,no
Dec-16,Petrol/diesel prices,table,economic,5,1,2,2,colour,yes,no
Dec-16,Half marathon map,"map, table, list",campaign,6,"3, 4",8,5,colour,yes,no
Dec-16,Mohari Badarpur road suffering from severe traffic jam,"jumbo figures, map, timeline, icons",transport,7,"1, 2, 3",4,7,colour,yes,no
Dec-16,Congress won twice under Sonia,jumbo figures,politics,11,1,1,2,b&w,yes,no
Dec-16,Sensex,"area chart, icons, table",sensex,15,2,1,8,colour,no,no
Dec-16,Smith plays well to bring back Australia,jumbo figures,sports,18,2,2,1.5,b&w,yes,no
Dec-16,Afridi takes hatrick in T-10 by taking out Sehwag,jumbo figures,sports,18,3,1,1,b&w,yes,no
Dec-17,Two loops to ease traffic congestion,map,transport,2,4,2,1.5,colour,no,no
Dec-17,Delhi NCR region - 7 out of ten commuters do not wear seat belts,jumbo figures,lifestyle,2,4,1,1,colour,yes,no
Dec-17,Rajghar road should be reapired,list,development,2,4,1,1,b&w,no,no
Dec-17,Female infoeticide ,table,education,4,"3, 4",6,4,colour,yes,yes
Dec-17,Petrol/diesel prices,table,economic,7,1,2,2,colour,yes,no
Dec-17,Delhi behind Jharkhand when it comes to women safety,table,crime,12,1,2,1,b&w,no,no
Dec-17,Earn while saving tax : ELSS,jumbo figures,economic,13,2,2,1,colour,no,yes
Dec-17,India Vs SL decider match,jumbo figures,sports,18,2,2,2,colour,yes,yes
Dec-17,Smith and Michael century help Aus,jumbo figures,sports,18,3,1,1,colour,yes,no
Dec-17,Jadeja scores 6 sixes in an over ,jumbo figures,sports,18,3,1,1,b&w,yes,no
Dec-18,Quarrel over EVM before results,"jumbo figures, timeline",politics,1,2,1,1,colour,yes,no
Dec-18,India wins 13th series in the year,jumbo figures,sports,1,1,1,1,colour,yes,no
Dec-18,Gangrape of underage girl in Delhi,timeline,crime,1,"2, 3",1,1,b&w,no,no
Dec-18,Municipality parking spots will be booked online ,"map, icons",transport,2,2,4,2,colour,yes,no
Dec-18,Weather,icons,weather,3,2,2,1,colour,no,no
Dec-18,Petrol/diesel prices,table,economic,5,1,2,2,colour,yes,no
Dec-18,Jamiya's student gets 35 lakh package,"jumbo figures, table",education,5,2,2,1.5,colour,yes,no
Dec-18,"Who will adorn the crown, decision to be made today","map, bar chart, jumbo figures",politics,12,"1, 2",5,3.5,colour,yes,yes
Dec-18,Case to be filed on illegal Bitcoins,"jumbo figures, list",economic,13,"1, 2",4,4,b&w,yes,no
Dec-18,Gold smuggled from European nations,stacked bar chart,crime,13,"2, 3",1,2,colour,yes,no
