Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-06,Gujarat elections: the 100 crore-plus club,"table, jumbo figures",politics,10,"2, 3",3,14,b&w,yes,no
Dec-06,"In Sanand, BJP faces farmer's anger","jumbo figures, list",politics,10,1,1.5,2,b&w,yes,no
Dec-06,"Yet again, BSP looks for first Gujarat winnner",jumbo figures,politics,10,4,1.5,4,b&w,yes,no
Dec-06,"498A, dowry: most FIRs, east convictions",table,crime,18,1,3,2,b&w,no,yes
Dec-06,Price of comodities,icons,economic,21,1,2.5,1,b&w,no,no
Dec-06,Govt's public debt rises by 2.53% in july-september quarter,jumbo figures,economic,21,4,1,4,colour,no,yes
Dec-06,Domestic passenger traffic moderates to 16.3%,jumbo figures,transport,23,3,5.2,1.5,colour,yes,no
Dec-06,"India vs Sri Lanka: 3rd test, Delhi","table, jumbo figures",sports,25,"1, 4",1.5,15,colour,yes,no
Dec-07,Opinion poll,jumbo figures,public opinion,2,3,1.5,2,colour,no,no
Dec-07,Model code references during J&K polls,timeline,politics,2,1,3,4,b&w,no,no
Dec-07,Air quality,"ring chart, colour",environment,3,1,4,1,colour,no,no
Dec-07,Gujarat elections,"table, jumbo figures",politics,6,2,1.5,5,b&w,yes,no
Dec-07,Price of comodities,icons,economic,17,1,2.5,1,b&w,no,no
Dec-07,"Rate status quo, again","table, jumbo figures",economic,17,3,4,3,b&w,no,no
Dec-07,"For farmers, it's rise in income, not output that matters",table,development,19,4,1.5,3,b&w,no,no
Dec-07,"India vs Sri Lanka: 3rd test, Delhi",table,sports,24,3,1.5,5,colour,yes,no
Dec-07,India produce a spirited performance to stun Olympic silver medallists Belgium in shootout and progress to semis of HWL final,"table, icons",sports,25,2,1.2,2,b&w,yes,no
Dec-08,Opinion poll,jumbo figures,public opinion,2,3,1.5,2,colour,no,no
Dec-08,Air quality,"ring chart, colour",environment,3,1,4,1,colour,no,no
Dec-08,City air quality 'moderate': best in December in 2 years,table,environment,3,1,2,1.5,colour,yes,no
Dec-08,Gujarat elections,"table, jumbo figures, map, bar chart",politics,6,"2, 3",1.5,20,colour,no,no
Dec-08,What UP civic poll numbers say,table,politics,13,"1, 2",4,3,colour,yes,no
Dec-08,Price of comodities,icons,economic,19,1,2.5,1,b&w,no,no
Dec-08,Investments in equity MFs in November hits Rs. 19508 crores,table,economic,19,2,2,3,b&w,no,no
Dec-08,"Singapore top destination for chinese funds, India 37th",list,economic,19,2,1,2,colour,no,yes
Dec-08,"Adaptive, flexible, resilient workforce needed: Kant",list,development,19,4,2,7,colour,yes,no
Dec-08,Link Aadhar as early as possible to avoid inconvenience,list,development,21,"3, 4",5,5,colour,no,yes
Dec-08,Only 25% passengers use seat belts in India,"list, jumbo figures",accidents,21,"1, 4",1.5,11,colour,no,no
Dec-08,A journey from being unattractive to being a competitive market,table,development,21,3,1.5,2,b&w,no,no
Dec-08,Choosing between Ashwin and Jadeja will be a dilemma for Kohliduring the upcoming South Africa series,jumbo figures,sports,26,1,1.5,2,b&w,yes,no
Dec-08,Annihilation at Anield,list,sports,28,2,1.5,3,b&w,yes,no
Dec-09,Opinion poll,jumbo figures,public opinion,2,3,1.5,2,colour,no,no
Dec-09,Air quality,"ring chart, colour",environment,4,1,4,1,colour,no,no
Dec-09,"Decision on Max is sentiment over science, anti-doc, say specialists",jumbo figures,accidents,4,4,2,3,colour,no,no
Dec-09,"Today, Cong will eye a big bite ino urban saffron pie","map, jumbo figures",politics,6,"1, 4",1.5,4.5,colour,yes,no
Dec-09,Price of comodities,icons,economic,17,1,2.5,1,b&w,no,no
Dec-09,Top 100 firms create wealth worth Rs. 38.9 lakh crores in the last 5 years,"jumbo figures, list",economic,17,3,1,2,colour,no,yes
Dec-10,"Clear dues or we'll cut water supply, DJB warns Govt departments",table,economic,5,2,2,2,colour,no,no
Dec-10,Commencement of various development works in Mundka constituency,"table, jumbo figures",campaign,5,4,3,5,colour,yes,no
Dec-10,Gujarat elections,"table, jumbo figures, map, pie chart",politics,6,"2, 3",1.5,14,colour,yes,no
Dec-10,"Paan to cotton, a Patel story","map, jumbo figures",politics,15,4,5,4,colour,yes,no
Dec-11,"B.Tech. (Fail): Empty seats, ghost campuses, unskilled graduates",stacked bar chart,education,1,3,1,3,colour,yes,no
Dec-11,Opinion poll,jumbo figures,public opinion,2,2,1.5,2,colour,no,no
Dec-11,Air quality,"ring chart, colour",environment,3,1,4,1,colour,no,no
Dec-11,To save a child: child trafficking,"jumbo figures, icons",crime,5,"3, 4",3,5,colour,yes,no
Dec-11,Gujarat elections,"table, jumbo figures, ring chart",politics,6,"2, 3",1.5,20,colour,no,no
Dec-11,"In old bastion, Congress fights breakaway leaders",table,politics,6,"1, 2",3,2,colour,yes,no
Dec-11,Why a gas pipeline is triggering anger?,map,development,10,1,3,4,colour,no,no
Dec-11,"51% B.Tech. seats vacant, 153 colleges face closure, 770 shut IT branches","bar chart, line chart, bubble chart, stacked bar chart, jumbo figures",education,11,"2, 3, 4",1.5,17,colour,yes,no
Dec-11,Top six fund houses net 22% rise in profit in FY 17,table,economic,16,2,2,1.5,b&w,no,no
Dec-11,Biz confidence rises in October-December,"ring chart, jumbo figures, stacked bar chart",economic,16,3,4,4,colour,no,no
Dec-11,"India vs Sri Lanka: 1st ODI, Dharamsala",table,sports,19,1,1.5,10,b&w,yes,no
Dec-12,Opinion poll,jumbo figures,public opinion,2,3,1.5,2,colour,no,no
Dec-12,Delhi police writes to Home Ministry: Match our salaries with CBI and IB,table,administration,3,1,2,2,b&w,no,no
Dec-12,Facilities available at Fair Price Shops (FPSs),table,lifestyle,3,"3, 4",6,2,b&w,no,no
Dec-12,Air quality,"ring chart, colour",environment,4,1,4,1,colour,no,no
Dec-12,"2 yrs on, migrtory birds make their way to the Dheerpur wetlands",list,environment,4,4,1,2,b&w,yes,no
Dec-12,Gujarat elections: The third side,list,politics,6,"2, 3",1.5,10,colour,no,no
Dec-12,Price of comodities,icons,economic,19,1,2.5,1,b&w,no,no
Dec-12,Debit cards: Merchant acquirers demand a higher share of MDR,list,economic,19,1,1,4,colour,no,no
Dec-12,Passenger vehicle sales rise 14.29% in Nov,"table, jumbo figures, list",economic,19,3,4,4,colour,no,yes
Dec-12,"In state with 74% vacancies, colleges without students, teachers without pay","bubble chart, stacked bar chart",education,21,1,1.5,6,colour,yes,no
Dec-12,"Ronaldo and Co. pay price for not winning Champions League group, to face PSG in round of 16",list,sports,26,1,1,2,colour,yes,no
Dec-12,Fellowship Entrance Test NBEFET,"list, table",education,26,3,3,2.5,colour,no,no
Dec-13,Congress hopes or 2017 chemistry but it faces an uphill 012 arithmetic,table,politics,1,4,1,2,colour,no,no
Dec-13,"To fill empty seats, college lower bar, hire agents to cast their net",stacked bar chart,education,1,4,1,3,colour,yes,no
Dec-13,Opinion poll,jumbo figures,public opinion,2,3,1.5,2,colour,no,no
Dec-13,Delhi police self-defense campaign,table,campaign,5,"1, 4",3.5,3,colour,yes,no
Dec-13,"Where Hardik lives, BJP fingers crossed",list,politics,7,"2, 3",1.5,10,b&w,yes,no
Dec-13,"34 rallies by PM, 30 by Rahul plus 12 temple visits","map, table, timeline",politics,7,1,2.5,8,colour,yes,no
Dec-13,"Turnout falls in Surat's Patel seats, Muslim majority booths",table,politics,7,3,1.5,2,b&w,yes,no
Dec-13,"In tribal seat, BJP pitches local ex-cop vs longtime MLA",list,politics,7,4,1.5,2,b&w,yes,no
Dec-13,Why the vaccine against cervical cancer is not such a simple shot ,jumbo figures,health,13,2,1.5,2,colour,no,no
Dec-13,Price of comodities,icons,economic,19,1,2.5,1,b&w,no,no
Dec-13,"Middlemen cast net across country, rush in where students fear to tread","line chart, bubble chart",education,21,"3, 4",3,4,colour,yes,no
Dec-14,Opinion poll,jumbo figures,public opinion,2,3,1.5,2,colour,no,no
Dec-14,No guidelines on glove and syringe usage: panel on Fortis,list,health,5,2,1,3,colour,yes,no
Dec-14,Delhi police self-defense campaign,table,campaign,5,4,3.5,3,colour,yes,no
