Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
7,Indian team in World Hockey Finals' Semifinals,"icons, table",sports,17,3,1.5,1.7,colour,yes,no
8,Today's temperature,icons,weather,3,2,1.5,1.1,colour,no,no
8,Air pollution in Delhi,table,environment,4,2,1,1.1,b&w,no,no
8,Job alert,jumbo figures,lifestyle,6,"2, 3",2,3.3,colour,no,yes
8,Sensex,icons,sensex,11,"1, 2",6,0.6,b&w,no,no
8,Longest National Highways,bar chart,development,12,3,2.5,2.2,b&w,yes,no
8,BJP occupies 70% seats in 89 districts,map,politics,17,2,1,1.7,colour,no,no
8,Online poll,bar chart,public opinion,19,3,1.5,2.2,colour,no,no
8,India may win in South Africa this time: Dravid,jumbo figures,sports,20,"1, 2",4,1.1,colour,yes,no
8,Hockey world league finals: Semifinals today,bar chart,sports,20,4,1.5,1.1,colour,yes,no
8,International Federation took blood and urine samples from all Indian weightlifters in team,jumbo figures,sports,20,3,1,0.6,b&w,yes,no
9,"""Why only the male is held guilty in Incest?"": Supreme court",jumbo figures,judiciary,1,3,2,0.6,colour,yes,no
9,Air pollution in Delhi,table,environment,2,1,1,1.1,b&w,no,no
9,Today's temperature,icons,weather,2,2,1.5,1.1,colour,no,no
9,Job alert,jumbo figures,lifestyle,7,"2, 3",2,3.3,colour,no,yes
9,Sensex,icons,sensex,11,"1, 2",6,0.6,b&w,no,no
9,Private schools won't be able to hike the fees in Uttar Pradesh,jumbo figures,education,13,3,1,0.6,colour,no,no
9,Online poll,bar chart,public opinion,14,3,1.5,2.2,colour,no,no
9,Most violence recorded in 2017 in the name of Cow protection,table,politics,14,4,0.5,1.1,colour,yes,no
9,Air pollution incident spurs ICC to action,jumbo figures,sports,15,1,1,1.1,colour,yes,no
9,Hockey World League finals: Argentina defeats India in semifinals,jumbo figures,sports,15,1,1,0.6,colour,yes,no
9,Ronaldo awarded Ballon D'or for the fifth time,jumbo figures,sports,15,3,1,0.6,colour,yes,no
10,Today's temperature,icons,weather,2,2,1.5,1.1,colour,no,no
10,Delhi Metro: It would take some time for the majenta line to be operational,jumbo figures,transport,2,1,1,1.1,colour,yes,no
10,Water Board to catch hold of seven Government agencies,"table, jumbo figures",economic,2,4,2,2.8,b&w,no,no
10,Air pollution in Delhi,table,environment,4,1,1,1.1,colour,yes,no
10,Inauguration of developmental activities,"table, jumbo figures",development,4,4,3,4.4,colour,no,no
10,Job alert,jumbo figures,lifestyle,7,"2, 3",2,3.3,colour,no,yes
